Frame,Gaze_X,Gaze_Y
0,324,293
1,325,290
2,325,289
3,326,288
4,326,289
5,326,289
6,326,289
7,327,289
8,327,289
9,328,289
10,328,290
11,329,289
12,329,289
13,329,290
14,330,290
15,330,290
16,330,290
17,330,290
18,330,290
19,330,290
20,331,290
21,331,291
22,331,291
23,331,291
24,331,291
25,331,291
26,331,290
27,331,290
28,331,290
29,331,290
30,331,290
31,331,290
32,331,290
33,331,290
34,331,290
35,331,291
36,331,291
37,331,291
38,331,291
39,331,291
40,331,291
41,331,292
42,331,292
43,331,292
44,331,292
45,331,292
46,331,291
47,331,291
48,331,291
49,331,291
50,331,291
51,331,291
52,331,291
53,331,291
54,331,291
55,331,291
56,331,291
57,331,291
58,331,290
59,331,290
60,331,290
61,331,290
62,331,289
63,331,289
64,331,289
65,331,289
66,331,289
67,331,289
68,331,289
69,331,289
70,331,291
71,330,292
72,330,291
73,330,291
74,329,291
75,329,291
76,329,291
77,329,292
78,329,292
79,329,292
80,329,292
81,329,292
82,329,292
83,329,292
84,329,292
85,329,292
86,330,292
87,329,292
88,330,292
89,330,292
90,330,292
91,330,292
92,330,293
93,330,293
94,331,293
95,331,293
96,331,293
97,331,293
98,331,293
99,332,293
100,332,293
101,332,294
102,332,294
103,332,294
104,332,294
105,332,294
106,332,294
107,332,294
108,332,294
109,332,294
110,332,294
111,332,294
112,332,294
113,332,294
114,332,294
115,332,294
116,332,294
117,331,294
118,331,294
119,331,294
120,331,294
121,331,294
122,331,294
123,331,294
124,331,294
125,331,294
126,331,294
127,331,294
128,331,295
129,331,295
130,331,295
131,331,295
132,332,295
133,332,295
134,332,295
135,332,295
136,332,295
137,332,295
138,332,295
139,332,295
140,332,295
141,332,295
142,332,295
143,332,295
144,332,295
145,332,295
146,332,295
147,333,295
148,333,295
149,333,295
150,332,296
151,332,296
152,332,296
153,332,296
154,332,296
155,332,296
156,332,296
157,332,296
158,331,296
159,331,296
160,331,295
161,331,295
162,331,295
163,331,295
164,330,295
165,330,295
166,330,295
167,330,295
168,329,295
169,329,295
170,329,295
171,329,295
172,329,294
173,329,294
174,329,294
175,329,294
176,329,294
177,329,294
178,329,294
179,329,293
180,329,293
181,329,293
182,329,293
183,329,293
184,329,293
185,329,293
186,329,293
187,329,293
188,329,293
189,329,293
190,329,293
191,329,292
192,329,292
193,329,292
194,330,292
195,330,292
196,330,292
197,330,292
198,329,291
199,329,291
200,329,291
201,330,291
202,330,290
203,330,290
204,330,290
205,330,291
206,330,291
207,330,291
208,329,291
209,329,291
210,328,291
211,328,292
212,327,292
213,327,292
214,326,291
215,326,291
216,326,292
217,326,292
218,326,293
219,326,293
220,326,294
221,327,295
222,327,296
223,327,296
224,327,296
225,328,296
226,328,297
227,328,297
228,328,297
229,328,297
230,328,297
231,329,297
232,329,297
233,329,297
234,330,297
235,330,297
236,330,297
237,330,297
238,330,297
239,330,296
240,330,295
241,330,293
242,331,292
243,332,292
244,334,292
245,335,293
246,338,294
247,341,295
248,343,297
249,347,298
250,350,299
251,355,300
252,359,301
253,363,301
254,366,301
255,369,300
256,372,300
257,374,300
258,375,301
259,377,302
260,378,303
261,379,305
262,379,306
263,379,307
264,379,307
265,378,308
266,376,308
267,375,307
268,374,307
269,374,307
270,373,307
271,373,307
272,372,308
273,373,308
274,373,309
275,374,309
276,376,309
277,378,310
278,380,310
279,382,311
280,383,311
281,384,311
282,384,311
283,383,311
284,383,311
285,382,311
286,381,310
287,380,310
288,379,310
289,377,310
290,376,309
291,375,309
292,375,309
293,373,309
294,371,309
295,370,309
296,369,308
297,368,308
298,367,308
299,367,309
300,366,309
301,365,309
302,365,308
303,364,308
304,363,307
305,362,307
306,362,307
307,361,307
308,360,307
309,360,307
310,359,307
311,359,307
312,358,307
313,357,307
314,357,306
315,356,306
316,355,306
317,354,306
318,353,306
319,351,307
320,350,307
321,349,307
322,348,306
